NOME;OBJETIVO;PRECONDICAO;STATUS;PRIORIDADE;ESTIMATIVA;FUNCIONALIDADE;SCRIPT
SCAF - Previdência - Cadastro - POST - Beneficiário - Dados obrigatórios válidos - Status code 200;Validar o cadastro de beneficiário com dados obrigatórios válidos;Token de autenticação válido e dados obrigatórios preenchidos;PARA EXECUTAR;ALTA;00:30;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And possuo dados obrigatórios válidos do beneficiário When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 200 And a resposta contém uma mensagem de sucesso
SCAF - Previdência - Cadastro - POST - Beneficiário - PessoaFisica nulo - Status code 400;Validar retorno de erro quando PessoaFisica é nulo;Token de autenticação válido;PARA EXECUTAR;ALTA;00:15;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And envio dados com PessoaFisica nulo When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 400 And a resposta contém mensagem Solicitação Imprópria And o campo com erro é PessoaFisica
SCAF - Previdência - Cadastro - POST - Beneficiário - ContratoParticipante nulo - Status code 400;Validar retorno de erro quando ContratoParticipante é nulo;Token de autenticação válido;PARA EXECUTAR;ALTA;00:15;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And envio dados com ContratoParticipante nulo When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 400 And a resposta contém mensagem Solicitação Imprópria And o campo com erro é ContratoParticipante
SCAF - Previdência - Cadastro - POST - Beneficiário - ContratoPlano nulo - Status code 400;Validar retorno de erro quando ContratoPlano é nulo;Token de autenticação válido;PARA EXECUTAR;ALTA;00:15;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And envio dados com ContratoPlano nulo When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 400 And a resposta contém mensagem Solicitação Imprópria And o campo com erro é ContratoPlano
SCAF - Previdência - Cadastro - POST - Beneficiário - Nome vazio - Status code 400;Validar retorno de erro quando Nome está vazio;Token de autenticação válido;PARA EXECUTAR;ALTA;00:15;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And envio dados com Nome vazio When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 400 And a resposta contém mensagem Solicitação Imprópria And o campo com erro é Nome
SCAF - Previdência - Cadastro - POST - Beneficiário - CPF inválido - Status code 400;Validar retorno de erro quando CPF é inválido;Token de autenticação válido;PARA EXECUTAR;ALTA;00:15;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And envio dados com CPF inválido When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 400 And a resposta contém mensagem Solicitação Imprópria And o campo com erro é CPF
SCAF - Previdência - Cadastro - POST - Beneficiário - CPF com formato incorreto - Status code 400;Validar retorno de erro quando CPF tem formato incorreto;Token de autenticação válido;PARA EXECUTAR;MEDIA;00:15;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And envio dados com CPF contendo máscara When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 400 And a resposta contém mensagem Solicitação Imprópria And o campo com erro é CPF
SCAF - Previdência - Cadastro - POST - Beneficiário - Data de nascimento futura - Status code 400;Validar retorno de erro quando data de nascimento é futura;Token de autenticação válido;PARA EXECUTAR;MEDIA;00:15;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And envio dados com data de nascimento futura When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 400 And a resposta contém mensagem Solicitação Imprópria And o campo com erro é DataNascimento
SCAF - Previdência - Cadastro - POST - Beneficiário - Sexo inválido - Status code 400;Validar retorno de erro quando sexo é inválido;Token de autenticação válido;PARA EXECUTAR;MEDIA;00:15;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And envio dados com sexo diferente de M ou F When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 400 And a resposta contém mensagem Solicitação Imprópria And o campo com erro é Sexo
SCAF - Previdência - Cadastro - POST - Beneficiário - Percentual Pecúlio maior que 100 - Status code 400;Validar retorno de erro quando percentual de pecúlio é maior que 100;Token de autenticação válido;PARA EXECUTAR;ALTA;00:15;SCAF Plus - SCAF - Previdência/Cadastro/Beneficiário;Given que tenho um token de autenticação válido And envio dados com BenefPercentualPeculio maior que 100 When faço uma requisição POST para /Cadastro/pessoas_fisicas/beneficiario/solicitacao/atualizacao Then recebo status code 400 And a resposta contém mensagem Solicitação Imprópria And o campo com erro é BenefPercentualPeculio
